episode,frames,return,Lc,La,Lbc,ratio,eps
0,93,31.62257356955527,0.0,0.0,0.0,1.0,1.0
1,192,32.928210959338564,0.0,0.0,0.0,1.0,1.0
2,286,31.98974986913494,0.0,0.0,0.0,1.0,1.0
3,386,33.59901849596517,0.0,0.0,0.0,1.0,1.0
4,484,32.72714665828477,0.0,0.0,0.0,1.0,1.0
5,558,26.24038057400898,0.0,0.0,0.0,1.0,1.0
6,655,32.375037207738615,0.0,0.0,0.0,1.0,1.0
7,754,33.268438278816944,0.0,0.0,0.0,1.0,1.0
8,836,26.350332646536906,0.0,0.0,0.0,1.0,1.0
9,930,32.24752542582171,0.0,0.0,0.0,1.0,1.0
10,1046,33.189991626954246,0.16400079429149628,0.0016179950907826424,0.007044604048132896,1.0,1.0
11,1137,31.44753193760794,6.262261867523193,-0.019574381411075592,0.0,1.0,1.0
12,1218,26.432617027112048,0.41355663537979126,-0.033365342766046524,0.0,1.0,1.0
13,1308,31.526034751833382,5.386035919189453,-0.05716509744524956,0.0,1.0,1.0
14,1379,-1.4571748155088335,5.374688148498535,-0.05470208823680878,0.0,1.0,1.0
15,1500,33.35797683319008,8.392690658569336,-0.08150918781757355,0.0,1.0,1.0
16,1582,6.896214634361998,3.4496207237243652,-0.09817995131015778,0.0,1.0,1.0
17,1694,30.63827459752563,6.120067596435547,-0.10201802104711533,0.0,1.0,1.0
18,1783,30.846524016788592,2.6631836891174316,-0.11976262927055359,0.0,1.0,1.0
19,1854,27.73689369331955,0.32089799642562866,-0.13547280430793762,0.0,1.0,1.0
20,1970,32.37116010958714,1.5871963500976562,-0.1450013369321823,0.0,1.0,1.0
21,2069,33.38755481268382,2.440351963043213,-0.15818843245506287,0.0,1.0,1.0
22,2174,33.63925497069036,0.22845956683158875,-0.17632201313972473,0.0,1.0,1.0
23,2276,33.50268547497614,0.7988041639328003,-0.17125636339187622,0.0,1.0,1.0
24,2392,31.616081063744833,0.611035168170929,-0.20759059488773346,0.0,1.0,1.0
25,2492,33.15300920535782,0.5349152088165283,-0.1988111436367035,0.0,1.0,1.0
26,2564,-6.707628717672122,0.1348200887441635,-0.1920085847377777,0.0,1.0,1.0
27,2657,31.16648395550805,0.2989039421081543,-0.2164345383644104,0.0,1.0,1.0
28,2756,33.90754691618015,0.16532237827777863,-0.2373075634241104,0.0,1.0,1.0
29,2878,30.076970450946966,0.15143492817878723,-0.2539275586605072,0.0,1.0,1.0
30,2985,30.073722956542547,0.20104143023490906,-0.2755001485347748,0.0,1.0,1.0
31,3090,30.000753582177992,0.6855245232582092,-0.26462066173553467,0.0,1.0,1.0
32,3182,-16.88610206631497,0.34829002618789673,-0.2845037281513214,0.0,1.0,1.0
33,3277,32.17380262466494,0.48006582260131836,-0.2789818048477173,0.0,1.0,1.0
34,3372,32.595180270588116,0.12044967710971832,-0.3050152659416199,0.0,1.0,1.0
35,3442,28.266608727954075,0.2535378336906433,-0.3014124631881714,0.0,1.0,1.0
36,3568,31.85634129717749,0.19536955654621124,-0.31941863894462585,0.0,1.0,1.0
37,3653,26.343286210785788,0.43318238854408264,-0.32971054315567017,0.0,1.0,1.0
38,3781,-33.32839086687948,0.3066425323486328,-0.32425665855407715,0.0,1.0,1.0
39,3880,32.29289674662776,0.6045060753822327,-0.3570377230644226,0.0,1.0,1.0
40,3979,33.924152932991475,0.41806718707084656,-0.3555258810520172,0.0,1.0,1.0
41,4076,31.15496160163122,0.5920422077178955,-0.35037291049957275,0.0,1.0,1.0
42,4170,31.818766581203295,0.6589881181716919,-0.35433945059776306,0.0,1.0,1.0
43,4272,31.681032625347985,0.5446726679801941,-0.14771664142608643,0.1906278431415558,1.0,1.0
44,4348,28.594867846674433,0.28910815715789795,-0.37049567699432373,0.0,1.0,1.0
45,4451,34.36506494939833,16.668954849243164,-0.3858218193054199,0.0,1.0,1.0
46,4545,32.299147872042035,13.42177677154541,-0.39973995089530945,0.0,1.0,1.0
47,4638,32.547797243368066,0.5699368715286255,-0.4048665165901184,0.0,1.0,1.0
48,4758,32.866862018900996,0.49138209223747253,-0.4060029983520508,0.0,1.0,1.0
49,4817,-3.561397792409465,2.8381991386413574,-0.42376261949539185,0.0,1.0,1.0
50,4908,31.232059901918884,1.0471217632293701,-0.42238500714302063,0.0,1.0,1.0
51,4976,27.36469390035397,2.2967705726623535,-0.4473055899143219,0.0,1.0,1.0
52,5075,31.6514708732685,1.5819036960601807,-0.4667763411998749,0.0,1.0,1.0
53,5166,30.85470870659981,2.3070993423461914,-0.10630089044570923,0.347582072019577,1.0,1.0
54,5268,34.06839377609797,0.821897566318512,-0.4746972620487213,0.0,1.0,1.0
55,5386,31.651701077958865,1.3811419010162354,-0.478802353143692,0.0,1.0,1.0
56,5486,34.507732258521,2.7896947860717773,-0.49960359930992126,0.0,1.0,1.0
57,5605,5.7948205878691255,2.3381142616271973,-0.4868912994861603,0.03997983783483505,1.0,1.0
58,5697,32.39265834396484,0.2734556198120117,-0.560577392578125,0.0,1.0,1.0
59,5792,32.61461696831316,1.0933401584625244,-0.5722647309303284,0.006201944313943386,1.0,1.0
60,5942,7.29755328376623,1.3375962972640991,-0.6210954785346985,0.0,1.0,1.0
61,6045,34.22604535912571,7.77089786529541,-0.6218252182006836,0.0,1.0,1.0
62,6137,31.196243291934366,21.177978515625,-0.6560220718383789,0.0,1.0,1.0
63,6232,32.426798681124,0.8485218286514282,-0.6908003091812134,0.0,1.0,1.0
64,6332,33.32603710554493,2.9153690338134766,-0.7228574752807617,0.0,1.0,1.0
65,6398,27.164535440551614,7.4955291748046875,-0.7229382991790771,0.0,1.0,1.0
