episode,frames,train_return,train_success,test_success_rate,ratio,epsilon,init_dist,avg_swing
1,33,0.5890000747187478,1,nan,1.0,0.9998349999999989,0.3629945107795945,0.03804506
2,183,-1.7052102968815939,0,nan,1.0,0.999084999999994,0.3645476861668095,0.056529973
3,333,-1.6707425338841164,0,nan,1.0,0.9983349999999891,0.40137257792220304,0.0495955
4,483,-1.637378694400848,0,nan,1.0,0.9975849999999842,0.4868510311590203,0.054096635
5,633,-1.624507284488748,0,nan,0.9933333333333333,0.9968349999999793,0.3337009322947039,0.053590786
6,783,-1.7470538249127487,0,nan,1.0,0.9960849999999744,0.4149085804840287,0.06017934
7,843,0.2644281943499821,0,nan,1.0,0.9957849999999724,0.3744762522769909,0.04134766
8,993,-1.6324584767748358,0,nan,1.0,0.9950349999999675,0.38355396999297425,0.052357845
9,1143,-1.735183995568805,0,nan,1.0,0.9942849999999626,0.4407704437883846,0.05115946
10,1171,0.6485207853131025,1,nan,1.0,0.9941449999999616,0.4651583960260572,0.039251696
11,1321,-1.70925681207874,0,nan,1.0,0.9933949999999567,0.3923683125933042,0.053024326
12,1356,0.5698763435037879,1,nan,1.0,0.9932199999999556,0.49518122168546364,0.03233294
13,1506,-1.7689300809155817,0,nan,0.9933333333333333,0.9924699999999507,0.35351370981152846,0.054432582
14,1565,0.27502247083496933,0,nan,1.0,0.9921749999999487,0.41799021112406504,0.043028995
15,1595,0.6172534216298903,1,nan,1.0,0.9920249999999478,0.3796227818674827,0.041084733
16,1745,-1.6953671883538874,0,nan,1.0,0.9912749999999428,0.3303021648981384,0.0565858
17,1784,0.5104459640420818,1,nan,1.0,0.9910799999999416,0.5208773069507624,0.03471651
18,1842,0.2955814795561684,0,nan,1.0,0.9907899999999397,0.35268573351433946,0.03581002
19,1992,-1.6665143017575517,0,nan,1.0,0.9900399999999348,0.471303283988854,0.051417407
20,2142,-1.7105266450113024,0,nan,0.9866666666666667,0.9892899999999298,0.451416096779444,0.05135415
21,2176,0.5680879388959246,1,nan,0.9705882352941176,0.9891199999999287,0.4186876941225322,0.03614968
22,2211,0.5493265934209615,1,nan,1.0,0.9889449999999276,0.48956564304236355,0.041551847
23,2251,0.47785779404994677,0,nan,1.0,0.9887449999999263,0.5374987903794771,0.037827425
24,2401,-1.6897314866234059,0,nan,0.9866666666666667,0.9879949999999214,0.4997388307613684,0.053117372
25,2551,-1.6833677956834527,0,nan,0.9866666666666667,0.9872449999999164,0.399194729608362,0.048676234
26,2701,-1.6809011986063962,0,nan,1.0,0.9864949999999115,0.4350792382222431,0.054113954
27,2851,-1.7708683488676844,0,nan,0.9933333333333333,0.9857449999999066,0.5362806377781744,0.050807245
28,3001,-1.8139535210705968,0,nan,0.9866666666666667,0.9849949999999017,0.31091992913771993,0.05534926
29,3151,-1.634397795685286,0,nan,1.0,0.9842449999998968,0.32206654019983966,0.0527034
30,3301,-1.7292956406947626,0,0.06,0.9733333333333334,0.9834949999998919,0.3656653954861262,0.05324216
31,3451,-1.6954985926723634,0,nan,0.9866666666666667,0.982744999999887,0.4528646313150156,0.05657098
32,3601,-1.7273285013954296,0,nan,0.9933333333333333,0.981994999999882,0.32623331716359577,0.049703978
33,3751,-1.7496638287442217,0,nan,0.9933333333333333,0.9812449999998771,0.3839144363464368,0.060315944
34,3901,-1.6706439185303528,0,nan,0.98,0.9804949999998722,0.3501810112271978,0.058966447
35,4051,-1.6991708287079201,0,nan,0.9733333333333334,0.9797449999998673,0.35715564680536366,0.05519068
36,4201,-1.7096362472456805,0,nan,0.9933333333333333,0.9789949999998624,0.4228215727596884,0.0553004
37,4231,0.6046526989740649,1,nan,0.9666666666666667,0.9788449999998614,0.45250212294952646,0.036434863
38,4381,-1.6667169534803004,0,nan,0.98,0.9780949999998565,0.4401143525219145,0.058021717
39,4439,0.2571946770819855,0,nan,0.9827586206896551,0.9778049999998546,0.5031018681196576,0.04504203
40,4475,0.5601265571447898,1,nan,0.9722222222222222,0.9776249999998534,0.4505851900607734,0.03589969
41,4625,-1.7748740591872176,0,nan,0.9733333333333334,0.9768749999998485,0.2828158431495717,0.06251543
42,4661,0.5278305048914959,1,nan,1.0,0.9766949999998473,0.49195203040622487,0.041215904
43,4811,-1.7516960956539411,0,nan,0.9866666666666667,0.9759449999998424,0.34437491181700314,0.05102924
44,4849,0.5567395349622171,1,nan,1.0,0.9757549999998412,0.47160405644325687,0.03648165
45,4886,0.5557769293285889,1,nan,0.972972972972973,0.97556999999984,0.47246452920461873,0.033608604
46,4931,0.4043457543431459,0,nan,1.0,0.9753449999998385,0.4629968655634851,0.046438918
47,4958,0.6599764552690217,1,nan,0.9629629629629629,0.9752099999998376,0.35700584358323273,0.032016028
48,5070,-0.340787157731674,0,nan,0.9821428571428571,0.9746499999998339,0.41647271739215663,0.050154485
49,5111,0.4739836425397169,0,nan,0.975609756097561,0.9744449999998326,0.48503051088472376,0.041856673
50,5213,-0.19189939433240955,0,nan,0.9901960784313726,0.9739349999998292,0.46904646874227857,0.04898234
51,5363,-1.7872020580862984,0,nan,0.9866666666666667,0.9731849999998243,0.47084584670798774,0.07180381
52,5513,-1.7492559305007225,0,nan,0.9733333333333334,0.9724349999998194,0.2730280477675347,0.0517733
53,5541,0.6804072098497034,1,nan,1.0,0.9722949999998185,0.38458713307203396,0.027342224
54,5568,0.6736918235194786,1,nan,1.0,0.9721599999998176,0.3793427739022429,0.030988658
55,5598,0.6184199976654108,1,nan,1.0,0.9720099999998166,0.38958484448529346,0.034331385
56,5748,-1.6893803214755434,0,nan,0.9866666666666667,0.9712599999998117,0.4603582215747479,0.05023214
57,5781,0.6044842917820887,1,nan,0.9393939393939394,0.9710949999998106,0.34794055948162533,0.033048477
58,5833,0.33856085626364174,0,nan,0.9423076923076923,0.9708349999998089,0.31675878655464657,0.04532918
59,5905,0.18241630923685537,0,nan,0.9861111111111112,0.9704749999998066,0.47017389471243787,0.035759643
60,6055,-1.6921283392677855,0,0.57,0.9666666666666667,0.9697249999998017,0.321741769124321,0.057236895
61,6205,-1.6922708634402943,0,nan,0.9866666666666667,0.9689749999997967,0.5156987809554776,0.052288886
62,6355,-1.7134741700139327,0,nan,0.9866666666666667,0.9682249999997918,0.4305128823965039,0.05221205
63,6383,0.6764358744053521,1,nan,0.9642857142857143,0.9680849999997909,0.30448018842178415,0.032944243
64,6411,0.6360643428909636,1,nan,1.0,0.96794499999979,0.35150697647327417,0.040603664
65,6561,-1.7059299318248504,0,nan,0.9866666666666667,0.9671949999997851,0.48573420266789125,0.053504135
66,6591,0.6324321505000926,1,nan,0.9666666666666667,0.9670449999997841,0.43706494424003883,0.032124378
67,6619,0.6274174178110001,1,nan,1.0,0.9669049999997832,0.3385546337144655,0.043846674
68,6769,-1.6812514444418558,0,nan,0.96,0.9661549999997783,0.302665313463443,0.061771914
69,6919,-1.709406383975698,0,nan,0.9733333333333334,0.9654049999997734,0.34941468543326903,0.05545002
70,6946,0.6559832530870742,1,nan,1.0,0.9652699999997725,0.3914907819194612,0.03966641
71,7096,-1.7252950847088058,0,nan,0.96,0.9645199999997676,0.37437205080422464,0.055834237
72,7124,0.6512341034454006,1,nan,1.0,0.9643799999997666,0.3385442128561909,0.03497716
73,7274,-1.6929607268448859,0,nan,0.9733333333333334,0.9636299999997617,0.42709653061009734,0.04828105
74,7424,-1.657096854616104,0,nan,0.9733333333333334,0.9628799999997568,0.4139776384117483,0.0544889
75,7463,0.5446296466312626,1,nan,0.9743589743589743,0.9626849999997555,0.42477102420472784,0.038109522
76,7488,0.7073330690546644,1,nan,1.0,0.9625599999997547,0.33326274977122916,0.02980249
77,7523,0.5766314947054667,1,nan,0.9714285714285714,0.9623849999997536,0.46428506825324795,0.043709945
78,7673,-1.8479176155190813,0,nan,0.9666666666666667,0.9616349999997487,0.51203821834325,0.06391789
79,7738,0.21188892573264617,0,nan,0.9846153846153847,0.9613099999997465,0.41324925869041523,0.039165065
80,7777,0.5090640704319624,1,nan,0.9743589743589743,0.9611149999997453,0.5396693862306725,0.035885286
81,7927,-1.6816104218836894,0,nan,0.94,0.9603649999997403,0.3120949671836599,0.0567257
82,7954,0.6740663477262798,1,nan,1.0,0.9602299999997395,0.3414988292833117,0.02972354
83,8104,-1.7183727152640298,0,nan,0.9733333333333334,0.9594799999997345,0.5090024158236971,0.052809946
84,8141,0.5277162218504579,1,nan,0.9459459459459459,0.9592949999997333,0.48430434844461345,0.04173736
85,8220,0.07916181307402181,0,nan,0.9493670886075949,0.9588999999997307,0.3898943449844018,0.037397023
86,8370,-1.652576491610718,0,nan,0.9866666666666667,0.9581499999997258,0.3036759651738249,0.050438415
87,8398,0.6455395145037076,1,nan,1.0,0.9580099999997249,0.4145108841812585,0.036262643
88,8433,0.5660930822204289,1,nan,1.0,0.9578349999997238,0.43604050912808867,0.032616653
89,8583,-1.6594659903502493,0,nan,0.98,0.9570849999997189,0.37097191015664993,0.051843196
90,8733,-1.6813980888359346,0,0.45,0.9666666666666667,0.9563349999997139,0.4208687482802958,0.051745974
91,8759,0.6724165613280024,1,nan,1.0,0.9562049999997131,0.42771332296580516,0.04126452
92,8909,-1.679908149576369,0,nan,0.9533333333333334,0.9554549999997082,0.3955831868954879,0.050553534
93,9059,-1.7585266399188555,0,nan,0.9866666666666667,0.9547049999997033,0.5030270796298685,0.06851996
94,9104,0.4782684195547998,0,nan,0.9555555555555556,0.9544799999997018,0.3479629391046382,0.03963969
95,9254,-1.7005488812369605,0,nan,0.9533333333333334,0.9537299999996969,0.3438103406239279,0.053970955
96,9280,0.6719692423208117,1,nan,0.9230769230769231,0.953599999999696,0.3403227540591305,0.03621959
97,9430,-1.6400006558604476,0,nan,0.98,0.9528499999996911,0.4098600696394357,0.05383744
98,9457,0.6661314367052773,1,nan,1.0,0.9527149999996902,0.30687714382577275,0.033326022
99,9607,-1.670711614368813,0,nan,0.9466666666666667,0.9519649999996853,0.31551105127023926,0.050647937
100,9757,-1.6983712309047674,0,nan,0.9666666666666667,0.9512149999996804,0.3588025549487063,0.06658883
101,9784,0.648239625683638,1,nan,0.9259259259259259,0.9510799999996795,0.2753173200442366,0.03922429
102,9934,-1.7484378288730826,0,nan,0.9333333333333333,0.9503299999996746,0.40208635809726,0.056438427
103,10084,-1.689119377171047,0,nan,0.9666666666666667,0.9495799999996697,0.33692565783782924,0.052663878
104,10141,0.2909322095731659,0,nan,0.9298245614035088,0.9492949999996678,0.4688292466440816,0.04078587
105,10177,0.5628273431261848,1,nan,0.9722222222222222,0.9491149999996666,0.4344229727255242,0.032761406
106,10327,-1.7193299103695139,0,nan,0.9333333333333333,0.9483649999996617,0.49976889420166715,0.048443716
107,10477,-1.7518944890963977,0,nan,0.9533333333333334,0.9476149999996568,0.3520491758473196,0.04908872
108,10504,0.6576162159976698,1,nan,1.0,0.9474799999996559,0.26187798236041127,0.03357522
109,10533,0.6197603408336201,1,nan,0.9310344827586207,0.947334999999655,0.3829535508042523,0.042130113
110,10570,0.5725816880539195,1,nan,0.8648648648648649,0.9471499999996538,0.46476159906311415,0.034009174
111,10605,0.5516138789517739,1,nan,1.0,0.9469749999996526,0.5029790097208942,0.03820134
