episode,frames,train_return,train_success,test_success_rate,ratio,epsilon
0,150,-0.1500000000000001,0,nan,1.0,0.9992499999999951
1,300,-0.1500000000000001,0,nan,1.0,0.9984999999999902
2,446,0.8539999999999999,1,nan,0.9863013698630136,0.9977699999999854
3,596,-0.1500000000000001,0,nan,1.0,0.9970199999999805
4,737,0.8589999999999999,1,nan,0.9929078014184397,0.9963149999999759
5,886,0.8509999999999999,1,nan,1.0,0.995569999999971
6,1030,0.8559999999999999,1,nan,0.9930555555555556,0.9948499999999663
7,1172,0.8579999999999999,1,nan,0.9859154929577465,0.9941399999999616
8,1317,0.8549999999999999,1,nan,0.9862068965517241,0.9934149999999569
9,1467,-0.1500000000000001,0,nan,0.9933333333333333,0.992664999999952
10,1612,0.8549999999999999,1,nan,1.0,0.9919399999999472
11,1762,-0.1500000000000001,0,nan,0.9866666666666667,0.9911899999999423
12,1912,-0.1500000000000001,0,nan,0.9866666666666667,0.9904399999999374
13,2055,0.8569999999999999,1,nan,0.986013986013986,0.9897249999999327
14,2205,-0.1500000000000001,0,nan,1.0,0.9889749999999278
15,2355,-0.1500000000000001,0,nan,0.9866666666666667,0.9882249999999229
16,2493,0.8619999999999999,1,nan,0.9927536231884058,0.9875349999999183
17,2643,-0.1500000000000001,0,nan,1.0,0.9867849999999134
18,2793,-0.1500000000000001,0,nan,0.9933333333333333,0.9860349999999085
19,2943,-0.1500000000000001,0,nan,1.0,0.9852849999999036
20,3093,-0.1500000000000001,0,nan,0.9933333333333333,0.9845349999998987
21,3243,-0.1500000000000001,0,nan,0.98,0.9837849999998938
22,3381,0.8619999999999999,1,nan,1.0,0.9830949999998893
23,3521,0.8599999999999999,1,nan,0.9785714285714285,0.9823949999998847
24,3662,0.8589999999999999,1,nan,0.9716312056737588,0.98168999999988
25,3811,0.8509999999999999,1,nan,1.0,0.9809449999998752
26,3961,-0.1500000000000001,0,nan,0.9933333333333333,0.9801949999998703
27,4106,0.8549999999999999,1,nan,0.993103448275862,0.9794699999998655
28,4250,0.8559999999999999,1,nan,0.9722222222222222,0.9787499999998608
29,4397,0.8529999999999999,1,0.0,0.9795918367346939,0.978014999999856
30,4547,-0.1500000000000001,0,nan,0.9933333333333333,0.9772649999998511
