episode,frames,train_return,train_success,test_success_rate,ratio,epsilon,init_dist,avg_swing
1,28,0.657248433081397,1,nan,1.0,0.9998599999999991,0.4,0.033625737
2,56,0.657248433081397,1,nan,1.0,0.9997199999999982,0.4,0.033625737
3,84,0.657248433081397,1,nan,1.0,0.9995799999999972,0.4,0.033625737
4,112,0.657248433081397,1,nan,1.0,0.9994399999999963,0.4,0.033625737
5,140,0.657248433081397,1,nan,1.0,0.9992999999999954,0.4,0.033625737
6,168,0.657248433081397,1,nan,1.0,0.9991599999999945,0.4,0.033625737
7,196,0.657248433081397,1,nan,1.0,0.9990199999999936,0.4,0.033625737
8,224,0.657248433081397,1,nan,1.0,0.9988799999999927,0.4,0.033625737
9,252,0.657248433081397,1,nan,1.0,0.9987399999999917,0.4,0.033625737
10,280,0.657248433081397,1,nan,1.0,0.9985999999999908,0.4,0.033625737
11,308,0.657248433081397,1,nan,1.0,0.9984599999999899,0.4,0.033625737
12,336,0.657248433081397,1,nan,1.0,0.998319999999989,0.4,0.033625737
13,364,0.657248433081397,1,nan,1.0,0.9981799999999881,0.4,0.033625737
14,514,-1.7896580621572231,0,nan,0.9933333333333333,0.9974299999999832,0.4,0.050022848
15,542,0.657248433081397,1,nan,1.0,0.9972899999999822,0.4,0.033625737
16,570,0.657248433081397,1,nan,1.0,0.9971499999999813,0.4,0.033625737
17,598,0.657248433081397,1,nan,1.0,0.9970099999999804,0.4,0.033625737
18,626,0.657248433081397,1,nan,1.0,0.9968699999999795,0.4,0.033625737
19,654,0.657248433081397,1,nan,1.0,0.9967299999999786,0.4,0.033625737
20,682,0.657248433081397,1,nan,1.0,0.9965899999999777,0.4,0.033625737
21,710,0.657248433081397,1,nan,1.0,0.9964499999999767,0.4,0.033625737
22,738,0.657248433081397,1,nan,1.0,0.9963099999999758,0.4,0.033625737
23,766,0.657248433081397,1,nan,1.0,0.9961699999999749,0.4,0.033625737
24,794,0.657248433081397,1,nan,1.0,0.996029999999974,0.4,0.033625737
25,822,0.657248433081397,1,nan,1.0,0.9958899999999731,0.4,0.033625737
26,850,0.657248433081397,1,nan,1.0,0.9957499999999722,0.4,0.033625737
27,878,0.657248433081397,1,nan,1.0,0.9956099999999712,0.4,0.033625737
