episode,frames,train_return,train_success,test_success_rate,ratio,epsilon,init_dist,avg_swing
1,28,0.6576840082126365,1,nan,1.0,0.9998599999999991,0.4,0.033666838
2,56,0.6571596578262997,1,nan,1.0,0.9997199999999982,0.4,0.03403483
3,84,0.6569344301644154,1,nan,1.0,0.9995799999999972,0.4,0.03340296
4,112,0.6567242219255778,1,nan,1.0,0.9994399999999963,0.4,0.03365063
5,140,0.6578473660606663,1,nan,1.0,0.9992999999999954,0.4,0.03379396
6,168,0.6573001723342735,1,nan,1.0,0.9991599999999945,0.4,0.03364476
7,318,-1.6376948429156513,0,nan,0.9933333333333333,0.9984099999999896,0.4,0.04836848
8,346,0.656104168330355,1,nan,0.9642857142857143,0.9982699999999887,0.4,0.034241445
9,374,0.6572038417000492,1,nan,1.0,0.9981299999999877,0.4,0.033667974
10,430,0.3265821127582281,0,nan,0.9642857142857143,0.9978499999999859,0.4,0.03412201
11,458,0.6629392957981117,1,nan,0.9642857142857143,0.997709999999985,0.4,0.032996092
12,486,0.6572861816301222,1,nan,1.0,0.9975699999999841,0.4,0.033691943
13,514,0.657121342174998,1,nan,1.0,0.9974299999999832,0.4,0.03361816
14,542,0.6570299459184467,1,nan,1.0,0.9972899999999822,0.4,0.033915423
15,570,0.657191206731768,1,nan,1.0,0.9971499999999813,0.4,0.033484146
16,598,0.6575303032344811,1,nan,1.0,0.9970099999999804,0.4,0.03375461
17,626,0.6566021525654067,1,nan,1.0,0.9968699999999795,0.4,0.033576123
18,654,0.6572812429931744,1,nan,1.0,0.9967299999999786,0.4,0.033683546
19,682,0.6573422956608177,1,nan,1.0,0.9965899999999777,0.4,0.03353122
20,790,-0.25515240351371593,0,nan,0.9907407407407407,0.9960499999999741,0.4,0.038767844
21,818,0.6580446128429082,1,nan,1.0,0.9959099999999732,0.4,0.033520974
22,846,0.657187621165543,1,nan,1.0,0.9957699999999723,0.4,0.03397754
23,874,0.6573069168497386,1,nan,1.0,0.9956299999999714,0.4,0.033658452
24,902,0.6575352259400988,1,nan,1.0,0.9954899999999705,0.4,0.033497274
25,930,0.6571444447659288,1,nan,1.0,0.9953499999999695,0.4,0.03369026
26,958,0.6568292956572697,1,nan,1.0,0.9952099999999686,0.4,0.033509646
27,1019,0.2633863378672977,0,nan,0.9836065573770492,0.9949049999999666,0.4,0.035103083
28,1047,0.657151329658237,1,nan,1.0,0.9947649999999657,0.4,0.033666436
29,1075,0.6572645791260241,1,nan,1.0,0.9946249999999648,0.4,0.033864785
30,1103,0.657351828054919,1,0.0,1.0,0.9944849999999639,0.4,0.033616398
31,1131,0.6570117331192509,1,nan,1.0,0.994344999999963,0.4,0.03348637
32,1159,0.6578003220215536,1,nan,1.0,0.994204999999962,0.4,0.033590354
33,1187,0.6576899308512976,1,nan,1.0,0.9940649999999611,0.4,0.033632822
34,1337,-1.6988018635644617,0,nan,0.9866666666666667,0.9933149999999562,0.4,0.05168725
35,1365,0.6568129346199463,1,nan,1.0,0.9931749999999553,0.4,0.033738416
36,1422,0.3616087151032322,0,nan,1.0,0.9928899999999534,0.4,0.032644384
37,1450,0.6571073409638968,1,nan,1.0,0.9927499999999525,0.4,0.03375188
38,1478,0.6578085435700272,1,nan,1.0,0.9926099999999516,0.4,0.0336203
39,1506,0.6574463106830002,1,nan,1.0,0.9924699999999507,0.4,0.033735156
40,1534,0.6580544088933795,1,nan,1.0,0.9923299999999498,0.4,0.033791613
41,1562,0.6590761322264701,1,nan,0.9642857142857143,0.9921899999999488,0.4,0.03375715
42,1590,0.6575197802986412,1,nan,1.0,0.9920499999999479,0.4,0.033595596
43,1618,0.6577803541575363,1,nan,1.0,0.991909999999947,0.4,0.03368073
44,1676,0.3319739500451717,0,nan,1.0,0.9916199999999451,0.4,0.037827373
45,1704,0.6572955056205108,1,nan,1.0,0.9914799999999442,0.4,0.033378776
46,1732,0.657306418044674,1,nan,1.0,0.9913399999999433,0.4,0.03381934
47,1760,0.6594612685100514,1,nan,0.9642857142857143,0.9911999999999423,0.4,0.0321319
48,1788,0.6570439381116147,1,nan,1.0,0.9910599999999414,0.4,0.03338393
49,1820,0.5999371374949676,1,nan,0.96875,0.9908999999999404,0.4,0.036857255
50,1848,0.6566792603514503,1,nan,1.0,0.9907599999999395,0.4,0.03344753
51,1876,0.6574946110067141,1,nan,1.0,0.9906199999999385,0.4,0.033583064
52,1904,0.6575914475369894,1,nan,1.0,0.9904799999999376,0.4,0.033545293
53,1932,0.6570068418656259,1,nan,1.0,0.9903399999999367,0.4,0.033523276
54,1960,0.6570766844611995,1,nan,1.0,0.9901999999999358,0.4,0.033540275
55,1988,0.6570612089945417,1,nan,1.0,0.9900599999999349,0.4,0.033546563
56,2045,0.37221387239653925,0,nan,1.0,0.989774999999933,0.4,0.03261935
57,2075,0.6200280025618272,1,nan,0.9666666666666667,0.989624999999932,0.4,0.03366597
58,2103,0.6381372640509875,1,nan,0.9642857142857143,0.9894849999999311,0.4,0.03620469
59,2131,0.6569106240311149,1,nan,1.0,0.9893449999999302,0.4,0.033499207
60,2159,0.6567633235341797,1,0.01,1.0,0.9892049999999293,0.4,0.033270553
61,2187,0.6577067809656185,1,nan,1.0,0.9890649999999284,0.4,0.03351542
62,2215,0.6573264586105434,1,nan,1.0,0.9889249999999274,0.4,0.033589587
63,2243,0.657728165991888,1,nan,1.0,0.9887849999999265,0.4,0.033500496
64,2271,0.6569145061526671,1,nan,1.0,0.9886449999999256,0.4,0.033696417
65,2299,0.6564331370512141,1,nan,1.0,0.9885049999999247,0.4,0.033737127
66,2327,0.6572037499572558,1,nan,1.0,0.9883649999999238,0.4,0.033649802
67,2355,0.6576525904887383,1,nan,1.0,0.9882249999999229,0.4,0.033653308
68,2383,0.6576353221188467,1,nan,1.0,0.9880849999999219,0.4,0.03370318
69,2411,0.6562782351350077,1,nan,1.0,0.987944999999921,0.4,0.03366006
70,2441,0.6618122954201309,1,nan,0.9666666666666667,0.98779499999992,0.4,0.030321958
