episode,frames,return,Lc,La,Lbc,explore_noise,success
58,2140,-13.011953489451582,0.0,0.0,0.0,0.1,0
59,2208,-67.70781015210491,0.0,0.0,0.0,0.1,0
60,2250,-71.92027145003209,0.0,0.0,0.0,0.1,0
61,2288,-38.19578107040723,0.0,0.0,0.0,0.1,0
62,2299,-11.02038941107942,0.0,0.0,0.0,0.1,0
63,2313,-16.958951256676333,0.0,0.0,0.0,0.1,0
64,2463,-98.25218269239431,0.0,0.0,0.0,0.1,0
65,2519,-58.046151237846566,0.0,0.0,0.0,0.1,0
66,2537,-10.505001839296847,0.0,0.0,0.0,0.1,0
67,2563,-16.80188632749963,0.0,0.0,0.0,0.1,0
68,2577,-11.58474755356635,0.0,0.0,0.0,0.1,0
69,2639,-65.95727460819755,0.0,0.0,0.0,0.1,0
70,2685,-66.03041660570955,0.0,0.0,0.0,0.1,0
71,2729,-36.124765233765224,0.0,0.0,0.0,0.1,0
72,2749,-12.936962397031232,0.0,0.0,0.0,0.1,0
73,2775,-34.61801203509967,0.0,0.0,0.0,0.1,0
74,2814,-34.40994338660048,0.0,0.0,0.0,0.1,0
75,2827,-9.40332003058796,0.0,0.0,0.0,0.1,0
76,2845,-17.03432948591069,0.0,0.0,0.0,0.1,0
77,2865,-22.517491047113133,0.0,0.0,0.0,0.1,0
78,2909,-61.08514515486562,0.0,0.0,0.0,0.1,0
79,2925,-11.274528102114862,0.0,0.0,0.0,0.1,0
80,2940,-12.936286594126143,0.0,0.0,0.0,0.1,0
81,2970,-23.827150191143637,0.0,0.0,0.0,0.1,0
82,2998,-35.0934910738673,0.0,0.0,0.0,0.1,0
83,3035,-36.93137033491901,0.0,0.0,0.0,0.1,0
84,3082,-32.46993984967894,0.0,0.0,0.0,0.1,0
85,3091,-9.917412168594627,0.0,0.0,0.0,0.1,0
86,3123,-45.56705320551226,0.0,0.0,0.0,0.1,0
87,3162,-53.126002357138645,0.0,0.0,0.0,0.1,0
88,3198,-22.567830000435688,0.0,0.0,0.0,0.1,0
89,3224,-52.61722209394589,0.0,0.0,0.0,0.1,0
90,3236,-14.538730959264482,0.0,0.0,0.0,0.1,0
91,3283,-46.52413254905361,0.0,0.0,0.0,0.1,0
92,3353,-79.39146779018697,0.0,0.0,0.0,0.1,0
93,3381,-20.00414934934723,0.0,0.0,0.0,0.1,0
94,3421,-64.18050394891044,0.0,0.0,0.0,0.1,0
95,3443,-23.449063070767533,0.0,0.0,0.0,0.1,0
96,3475,-40.177209861728386,0.0,0.0,0.0,0.1,0
97,3528,-38.664009602566495,0.0,0.0,0.0,0.1,0
98,3586,-34.624495472041986,0.0,0.0,0.0,0.1,0
99,3610,-31.227268580215778,0.0,0.0,0.0,0.1,0
100,3622,-9.962694416658795,0.0,0.0,0.0,0.1,0
101,3645,-19.311096154495498,0.0,0.0,0.0,0.1,0
102,3667,-14.867949898866613,0.0,0.0,0.0,0.1,0
103,3736,-58.109249792675676,0.0,0.0,0.0,0.1,0
104,3776,-60.62969279196137,0.0,0.0,0.0,0.1,0
105,3792,-13.166528234100117,0.0,0.0,0.0,0.1,0
106,3803,-14.357528116411718,0.0,0.0,0.0,0.1,0
107,3817,-12.734421820785125,0.0,0.0,0.0,0.1,0
108,3831,-12.034735425158017,0.0,0.0,0.0,0.1,0
109,3915,-49.07592795840858,0.0,0.0,0.0,0.1,0
110,3959,-48.76246660567233,0.0,0.0,0.0,0.1,0
111,3987,-13.205611908362187,0.0,0.0,0.0,0.1,0
112,4006,-18.34616004806779,0.0,0.0,0.0,0.1,0
113,4046,-44.47328637128973,0.0,0.0,0.0,0.1,0
114,4062,-13.05748941418969,0.0,0.0,0.0,0.1,0
115,4078,-12.699568047241462,0.0,0.0,0.0,0.1,0
116,4115,-37.1503878973608,0.0,0.0,0.0,0.1,0
117,4265,-91.73749376345789,0.0,0.0,0.0,0.1,0
118,4360,-73.82417999521998,0.0,0.0,0.0,0.1,0
119,4412,-54.90732133265742,0.0,0.0,0.0,0.1,0
120,4446,-35.88485075976976,0.0,0.0,0.0,0.1,0
121,4596,-71.64017129510752,0.0,0.0,0.0,0.1,0
122,4609,-13.983583620633514,0.0,0.0,0.0,0.1,0
123,4629,-10.458506232119529,0.0,0.0,0.0,0.1,0
124,4645,-19.448520351637644,0.0,0.0,0.0,0.1,0
125,4660,-12.60741408469611,0.0,0.0,0.0,0.1,0
126,4682,-15.382829571111692,0.0,0.0,0.0,0.1,0
127,4708,-23.22111733945742,0.0,0.0,0.0,0.1,0
128,4724,-13.890187661284044,0.0,0.0,0.0,0.1,0
129,4763,-38.8275450596329,0.0,0.0,0.0,0.1,0
130,4783,-14.798457638249504,0.0,0.0,0.0,0.1,0
131,4828,-45.86792837612414,0.0,0.0,0.0,0.1,0
132,4876,-60.879740415910355,0.0,0.0,0.0,0.1,0
133,4983,-82.20719053463831,0.0,0.0,0.0,0.1,0
134,5054,-70.90792992026712,0.0,0.0,0.0,0.1,0
135,5093,-12.626877668008525,0.0,0.0,0.0,0.1,0
136,5124,-42.82683500120393,0.0,0.0,0.0,0.1,0
137,5156,-14.850151921904361,0.0,0.0,0.0,0.1,0
138,5183,-20.538178920140695,0.0,0.0,0.0,0.1,0
139,5238,-58.99819816474073,0.0,0.0,0.0,0.1,0
140,5274,-43.59220125535491,0.0,0.0,0.0,0.1,0
141,5296,-23.82459632751051,0.0,0.0,0.0,0.1,0
142,5317,-10.688024781323826,0.0,0.0,0.0,0.1,0
143,5387,-85.23432630029708,0.0,0.0,0.0,0.1,0
144,5432,-53.54743951072287,0.0,0.0,0.0,0.1,0
145,5474,-33.66047150775878,0.0,0.0,0.0,0.1,0
146,5484,-14.432701281085455,0.0,0.0,0.0,0.1,0
147,5540,-26.445471257439685,0.0,0.0,0.0,0.1,0
148,5558,-10.626995913526333,0.0,0.0,0.0,0.1,0
149,5575,-13.269734131025096,0.0,0.0,0.0,0.1,0
150,5661,-72.59644920643592,0.0,0.0,0.0,0.1,0
151,5671,-12.586655011142291,0.0,0.0,0.0,0.1,0
152,5696,-15.857109159585969,0.0,0.0,0.0,0.1,0
153,5717,-23.674597428649513,0.0,0.0,0.0,0.1,0
154,5739,-20.25499696445698,0.0,0.0,0.0,0.1,0
155,5759,-14.007455255410965,0.0,0.0,0.0,0.1,0
156,5833,-91.43224337337993,0.0,0.0,0.0,0.1,0
157,5844,-13.109493152840658,0.0,0.0,0.0,0.1,0
158,5994,-94.17400471730453,0.0,0.0,0.0,0.1,0
159,6027,-34.238922816637206,0.0,0.0,0.0,0.1,0
160,6052,-13.03071410664628,0.0,0.0,0.0,0.1,0
161,6078,-19.35116635489802,0.0,0.0,0.0,0.1,0
162,6139,-72.89637126192949,0.0,0.0,0.0,0.1,0
163,6152,-9.161882104576636,0.0,0.0,0.0,0.1,0
164,6194,-29.46716097270549,0.0,0.0,0.0,0.1,0
165,6213,-13.33157882498408,0.0,0.0,0.0,0.1,0
166,6237,-18.363368133771928,0.0,0.0,0.0,0.1,0
167,6250,-10.602361875243954,0.0,0.0,0.0,0.1,0
168,6270,-23.617167946658867,0.0,0.0,0.0,0.1,0
169,6294,-27.763710668901272,0.0,0.0,0.0,0.1,0
170,6317,-14.300598195239004,0.0,0.0,0.0,0.1,0
171,6404,-35.12641925141974,0.0,0.0,0.0,0.1,0
172,6449,-50.93127944695523,0.0,0.0,0.0,0.1,0
173,6491,-61.39350012307655,0.0,0.0,0.0,0.1,0
174,6641,-85.70457143866395,0.0,0.0,0.0,0.1,0
175,6671,-52.91295542416694,0.0,0.0,0.0,0.1,0
176,6687,-11.139316225989075,0.0,0.0,0.0,0.1,0
177,6701,-16.565258145329754,0.0,0.0,0.0,0.1,0
178,6745,-38.26075618020042,0.0,0.0,0.0,0.1,0
179,6775,-21.815612185530544,0.0,0.0,0.0,0.1,0
180,6807,-15.97112941840468,0.0,0.0,0.0,0.1,0
181,6864,-32.31712842224182,0.0,0.0,0.0,0.1,0
182,6890,-20.78945045596898,0.0,0.0,0.0,0.1,0
183,6912,-25.512509728937665,0.0,0.0,0.0,0.1,0
184,6964,-63.78640046444183,0.0,0.0,0.0,0.1,0
185,6989,-21.7961464797604,0.0,0.0,0.0,0.1,0
186,7023,-36.78955387425779,0.0,0.0,0.0,0.1,0
187,7056,-22.917222559348858,0.0,0.0,0.0,0.1,0
188,7084,-16.954246341972187,0.0,0.0,0.0,0.1,0
189,7136,-66.74750812099043,0.0,0.0,0.0,0.1,0
190,7149,-14.39893028446716,0.0,0.0,0.0,0.1,0
191,7173,-33.86515040544997,0.0,0.0,0.0,0.1,0
192,7233,-84.23488926454746,0.0,0.0,0.0,0.1,0
193,7253,-9.524128529033256,0.0,0.0,0.0,0.1,0
194,7291,-29.992840509982354,0.0,0.0,0.0,0.1,0
195,7347,-41.330254375922216,0.0,0.0,0.0,0.1,0
196,7401,-60.684129951849364,0.0,0.0,0.0,0.1,0
197,7417,-23.66014212068952,0.0,0.0,0.0,0.1,0
198,7438,-14.703853315899575,0.0,0.0,0.0,0.1,0
199,7476,-22.786573950192235,0.0,0.0,0.0,0.1,0
200,7493,-9.774049486049819,0.0,0.0,0.0,0.1,0
201,7521,-50.21174595409773,0.0,0.0,0.0,0.1,0
202,7531,-13.38943830629038,0.0,0.0,0.0,0.1,0
203,7587,-23.79567280021105,0.0,0.0,0.0,0.1,0
204,7737,-71.46276734111278,0.0,0.0,0.0,0.1,0
205,7755,-10.793046125842478,0.0,0.0,0.0,0.1,0
206,7823,-32.66749535308236,0.0,0.0,0.0,0.1,0
207,7877,-32.63879514113361,0.0,0.0,0.0,0.1,0
208,7888,-10.710981079271125,0.0,0.0,0.0,0.1,0
209,7899,-13.040503701997034,0.0,0.0,0.0,0.1,0
210,7917,-16.203327872290046,0.0,0.0,0.0,0.1,0
211,7918,-8.11166410573246,0.0,0.0,0.0,0.1,0
212,7938,-15.95036144300022,0.0,0.0,0.0,0.1,0
213,7967,-12.187874625486717,0.0,0.0,0.0,0.1,0
214,7987,-27.755802212311185,0.0,0.0,0.0,0.1,0
215,8052,-60.63255805729786,0.0,0.0,0.0,0.1,0
216,8086,-23.6871486955821,0.0,0.0,0.0,0.1,0
217,8138,-70.9527627357491,0.0,0.0,0.0,0.1,0
218,8167,-15.04044817628084,0.0,0.0,0.0,0.1,0
219,8198,-13.273632479781133,0.0,0.0,0.0,0.1,0
220,8219,-15.996215928036579,0.0,0.0,0.0,0.1,0
221,8268,-64.88369274849518,0.0,0.0,0.0,0.1,0
222,8281,-13.07529255298053,0.0,0.0,0.0,0.1,0
223,8302,-14.08817882016427,0.0,0.0,0.0,0.1,0
224,8314,-11.249884879380243,0.0,0.0,0.0,0.1,0
225,8348,-33.055437583548375,0.0,0.0,0.0,0.1,0
226,8361,-13.931190248384565,0.0,0.0,0.0,0.1,0
227,8426,-70.13680158595984,0.0,0.0,0.0,0.1,0
228,8448,-13.513722058693311,0.0,0.0,0.0,0.1,0
229,8459,-10.21236005943325,0.0,0.0,0.0,0.1,0
230,8547,-83.29592830791904,0.0,0.0,0.0,0.1,0
231,8548,-8.151912192352956,0.0,0.0,0.0,0.1,0
232,8562,-12.286097050317224,0.0,0.0,0.0,0.1,0
233,8575,-16.7417583563907,0.0,0.0,0.0,0.1,0
234,8636,-54.682613416705166,0.0,0.0,0.0,0.1,0
235,8646,-12.412753544658905,0.0,0.0,0.0,0.1,0
236,8703,-15.62571638492774,0.0,0.0,0.0,0.1,0
237,8717,-13.997213651735244,0.0,0.0,0.0,0.1,0
238,8728,-9.23461227741689,0.0,0.0,0.0,0.1,0
239,8754,-16.85947318294818,0.0,0.0,0.0,0.1,0
240,8788,-24.98732581825152,0.0,0.0,0.0,0.1,0
241,8829,-59.37940368907122,0.0,0.0,0.0,0.1,0
242,8847,-12.01443035626834,0.0,0.0,0.0,0.1,0
243,8857,-14.41408823795385,0.0,0.0,0.0,0.1,0
244,8913,-47.77433152493509,0.0,0.0,0.0,0.1,0
245,8950,-25.28016589471627,0.0,0.0,0.0,0.1,0
246,8982,-43.04556576429748,0.0,0.0,0.0,0.1,0
247,9000,-19.74138994363595,0.0,0.0,0.0,0.1,0
248,9036,-48.30759826298385,0.0,0.0,0.0,0.1,0
249,9092,-77.44774324516065,0.0,0.0,0.0,0.1,0
250,9124,-23.12183438979846,0.0,0.0,0.0,0.1,0
251,9148,-16.156446267708574,0.0,0.0,0.0,0.1,0
252,9184,-35.3819726117667,0.0,0.0,0.0,0.1,0
253,9210,-18.04868724992444,0.0,0.0,0.0,0.1,0
254,9255,-28.67304211619935,0.0,0.0,0.0,0.1,0
255,9264,-11.091608928934566,0.0,0.0,0.0,0.1,0
256,9312,-50.836227589280675,0.0,0.0,0.0,0.1,0
257,9329,-12.14245541521549,0.0,0.0,0.0,0.1,0
