idx,x,y
0.000000000000000000e+00,2.100000000000000200e-01,2.071428426836704195e-01
1.000000000000000000e+00,2.100000000000000200e-01,2.271428426836703818e-01
2.000000000000000000e+00,2.100000000000000200e-01,2.471428426836703995e-01
3.000000000000000000e+00,2.100000000000000200e-01,2.671428426836703895e-01
4.000000000000000000e+00,2.100000000000000200e-01,2.871428426836704073e-01
5.000000000000000000e+00,2.300000000000000377e-01,3.071428426836704251e-01
6.000000000000000000e+00,2.300000000000000377e-01,3.271428426836704428e-01
7.000000000000000000e+00,2.300000000000000377e-01,3.471428426836703496e-01
8.000000000000000000e+00,2.300000000000000377e-01,3.671428426836703673e-01
9.000000000000000000e+00,2.300000000000000377e-01,3.871428426836703851e-01
1.000000000000000000e+01,2.300000000000000377e-01,4.071428426836704029e-01
1.100000000000000000e+01,2.300000000000000377e-01,4.271428426836704206e-01
1.200000000000000000e+01,2.300000000000000377e-01,4.471428426836703274e-01
1.300000000000000000e+01,2.300000000000000377e-01,4.671428426836703451e-01
1.400000000000000000e+01,2.300000000000000377e-01,4.871428426836703629e-01
1.500000000000000000e+01,2.300000000000000377e-01,5.071428426836703807e-01
1.600000000000000000e+01,2.500000000000000555e-01,5.271428426836703984e-01
1.700000000000000000e+01,2.700000000000000178e-01,5.471428426836704162e-01
1.800000000000000000e+01,2.900000000000000355e-01,5.671428426836703229e-01
1.900000000000000000e+01,3.100000000000000533e-01,5.671428426836703229e-01
2.000000000000000000e+01,3.300000000000000155e-01,5.871428426836703407e-01
2.100000000000000000e+01,3.500000000000000333e-01,5.871428426836703407e-01
2.200000000000000000e+01,3.700000000000000511e-01,5.871428426836703407e-01
2.300000000000000000e+01,3.900000000000000133e-01,5.871428426836703407e-01
2.400000000000000000e+01,4.100000000000000311e-01,5.871428426836703407e-01
2.500000000000000000e+01,4.300000000000000488e-01,5.671428426836703229e-01
2.600000000000000000e+01,4.500000000000000666e-01,5.671428426836703229e-01
2.700000000000000000e+01,4.700000000000000844e-01,5.471428426836704162e-01
2.800000000000000000e+01,4.899999999999999911e-01,5.271428426836703984e-01
2.900000000000000000e+01,5.100000000000000089e-01,5.071428426836703807e-01
