idx,x,y
0.000000000000000000e+00,1.928127316741512776e-01,2.100000000000000200e-01
1.000000000000000000e+00,2.128127316741512953e-01,2.300000000000000377e-01
2.000000000000000000e+00,2.328127316741512576e-01,2.300000000000000377e-01
3.000000000000000000e+00,2.528127316741513031e-01,2.300000000000000377e-01
4.000000000000000000e+00,2.728127316741513209e-01,2.500000000000000555e-01
5.000000000000000000e+00,2.928127316741512276e-01,2.500000000000000555e-01
6.000000000000000000e+00,3.128127316741512454e-01,2.500000000000000555e-01
7.000000000000000000e+00,3.328127316741512631e-01,2.500000000000000555e-01
8.000000000000000000e+00,3.528127316741512809e-01,2.500000000000000555e-01
9.000000000000000000e+00,3.728127316741512987e-01,2.500000000000000555e-01
1.000000000000000000e+01,3.928127316741512054e-01,2.500000000000000555e-01
1.100000000000000000e+01,4.128127316741512232e-01,2.700000000000000178e-01
1.200000000000000000e+01,4.328127316741512409e-01,2.900000000000000355e-01
1.300000000000000000e+01,4.528127316741512587e-01,3.100000000000000533e-01
1.400000000000000000e+01,4.728127316741512765e-01,3.300000000000000155e-01
1.500000000000000000e+01,4.728127316741512765e-01,3.500000000000000333e-01
1.600000000000000000e+01,4.728127316741512765e-01,3.700000000000000511e-01
1.700000000000000000e+01,4.728127316741512765e-01,3.900000000000000133e-01
1.800000000000000000e+01,4.728127316741512765e-01,4.100000000000000311e-01
1.900000000000000000e+01,4.728127316741512765e-01,4.300000000000000488e-01
2.000000000000000000e+01,4.728127316741512765e-01,4.500000000000000666e-01
2.100000000000000000e+01,4.928127316741512942e-01,4.700000000000000844e-01
2.200000000000000000e+01,4.928127316741512942e-01,4.899999999999999911e-01
2.300000000000000000e+01,4.928127316741512942e-01,5.100000000000000089e-01
