idx,x,y
0.000000000000000000e+00,2.031075431775172246e-01,2.100000000000000200e-01
1.000000000000000000e+00,2.231075431775171869e-01,2.100000000000000200e-01
2.000000000000000000e+00,2.431075431775172047e-01,2.100000000000000200e-01
3.000000000000000000e+00,2.631075431775172224e-01,2.100000000000000200e-01
4.000000000000000000e+00,2.831075431775171847e-01,2.100000000000000200e-01
5.000000000000000000e+00,3.031075431775172024e-01,2.100000000000000200e-01
6.000000000000000000e+00,3.231075431775172202e-01,2.100000000000000200e-01
7.000000000000000000e+00,3.431075431775172380e-01,2.100000000000000200e-01
8.000000000000000000e+00,3.631075431775172557e-01,2.100000000000000200e-01
9.000000000000000000e+00,3.831075431775171625e-01,2.100000000000000200e-01
1.000000000000000000e+01,4.031075431775171802e-01,2.100000000000000200e-01
1.100000000000000000e+01,4.231075431775171980e-01,2.100000000000000200e-01
1.200000000000000000e+01,4.431075431775172158e-01,2.100000000000000200e-01
1.300000000000000000e+01,4.631075431775172335e-01,2.100000000000000200e-01
1.400000000000000000e+01,4.831075431775172513e-01,2.100000000000000200e-01
1.500000000000000000e+01,5.031075431775171580e-01,2.300000000000000377e-01
1.600000000000000000e+01,5.231075431775171758e-01,2.300000000000000377e-01
1.700000000000000000e+01,5.431075431775171936e-01,2.300000000000000377e-01
1.800000000000000000e+01,5.631075431775172113e-01,2.500000000000000555e-01
1.900000000000000000e+01,5.831075431775172291e-01,2.700000000000000178e-01
2.000000000000000000e+01,6.031075431775172468e-01,2.900000000000000355e-01
2.100000000000000000e+01,6.031075431775172468e-01,3.100000000000000533e-01
2.200000000000000000e+01,6.231075431775172646e-01,3.300000000000000155e-01
2.300000000000000000e+01,6.231075431775172646e-01,3.500000000000000333e-01
2.400000000000000000e+01,6.231075431775172646e-01,3.700000000000000511e-01
2.500000000000000000e+01,6.231075431775172646e-01,3.900000000000000133e-01
2.600000000000000000e+01,6.031075431775172468e-01,4.100000000000000311e-01
2.700000000000000000e+01,6.031075431775172468e-01,4.300000000000000488e-01
2.800000000000000000e+01,5.831075431775172291e-01,4.500000000000000666e-01
2.900000000000000000e+01,5.631075431775172113e-01,4.700000000000000844e-01
3.000000000000000000e+01,5.431075431775171936e-01,4.899999999999999911e-01
3.100000000000000000e+01,5.231075431775171758e-01,4.899999999999999911e-01
3.200000000000000000e+01,5.031075431775171580e-01,5.100000000000000089e-01
