idx,x,y
0.000000000000000000e+00,2.080295750197261873e-01,2.015715429343218346e-01
1.000000000000000000e+00,1.880295750197262250e-01,2.215715429343218523e-01
2.000000000000000000e+00,1.680295750197262072e-01,2.415715429343218146e-01
3.000000000000000000e+00,1.480295750197261895e-01,2.615715429343218323e-01
4.000000000000000000e+00,1.480295750197261895e-01,2.815715429343218501e-01
5.000000000000000000e+00,1.280295750197261717e-01,3.015715429343218124e-01
6.000000000000000000e+00,1.280295750197261717e-01,3.215715429343218301e-01
7.000000000000000000e+00,1.280295750197261717e-01,3.415715429343218479e-01
8.000000000000000000e+00,1.280295750197261717e-01,3.615715429343218101e-01
9.000000000000000000e+00,1.280295750197261717e-01,3.815715429343218279e-01
1.000000000000000000e+01,1.280295750197261717e-01,4.015715429343218457e-01
1.100000000000000000e+01,1.280295750197261717e-01,4.215715429343218634e-01
1.200000000000000000e+01,1.280295750197261717e-01,4.415715429343218812e-01
1.300000000000000000e+01,1.280295750197261717e-01,4.615715429343217879e-01
1.400000000000000000e+01,1.480295750197261895e-01,4.815715429343218057e-01
1.500000000000000000e+01,1.480295750197261895e-01,5.015715429343218235e-01
1.600000000000000000e+01,1.680295750197262072e-01,5.215715429343218412e-01
1.700000000000000000e+01,1.880295750197262250e-01,5.415715429343218590e-01
1.800000000000000000e+01,2.080295750197261873e-01,5.415715429343218590e-01
1.900000000000000000e+01,2.280295750197262050e-01,5.615715429343218767e-01
2.000000000000000000e+01,2.480295750197262228e-01,5.615715429343218767e-01
2.100000000000000000e+01,2.680295750197261850e-01,5.615715429343218767e-01
2.200000000000000000e+01,2.880295750197262028e-01,5.615715429343218767e-01
2.300000000000000000e+01,3.080295750197262206e-01,5.615715429343218767e-01
2.400000000000000000e+01,3.280295750197261828e-01,5.615715429343218767e-01
2.500000000000000000e+01,3.480295750197262006e-01,5.615715429343218767e-01
2.600000000000000000e+01,3.680295750197262183e-01,5.615715429343218767e-01
2.700000000000000000e+01,3.880295750197262361e-01,5.415715429343218590e-01
2.800000000000000000e+01,4.080295750197262539e-01,5.415715429343218590e-01
2.900000000000000000e+01,4.280295750197261606e-01,5.415715429343218590e-01
3.000000000000000000e+01,4.480295750197261784e-01,5.215715429343218412e-01
3.100000000000000000e+01,4.680295750197261961e-01,5.215715429343218412e-01
3.200000000000000000e+01,4.880295750197262139e-01,5.015715429343218235e-01
3.300000000000000000e+01,5.080295750197262317e-01,5.015715429343218235e-01
