idx,x,y
0.000000000000000000e+00,2.100000000000000200e-01,1.917938328071675524e-01
1.000000000000000000e+00,2.100000000000000200e-01,2.117938328071675147e-01
2.000000000000000000e+00,2.100000000000000200e-01,2.317938328071675325e-01
3.000000000000000000e+00,2.100000000000000200e-01,2.517938328071675502e-01
4.000000000000000000e+00,2.100000000000000200e-01,2.717938328071675125e-01
5.000000000000000000e+00,2.100000000000000200e-01,2.917938328071675302e-01
6.000000000000000000e+00,2.100000000000000200e-01,3.117938328071675480e-01
7.000000000000000000e+00,2.100000000000000200e-01,3.317938328071675658e-01
8.000000000000000000e+00,2.100000000000000200e-01,3.517938328071675835e-01
9.000000000000000000e+00,2.100000000000000200e-01,3.717938328071674903e-01
1.000000000000000000e+01,2.100000000000000200e-01,3.917938328071675080e-01
1.100000000000000000e+01,2.100000000000000200e-01,4.117938328071675258e-01
1.200000000000000000e+01,2.100000000000000200e-01,4.317938328071675436e-01
1.300000000000000000e+01,2.100000000000000200e-01,4.517938328071675613e-01
1.400000000000000000e+01,2.100000000000000200e-01,4.717938328071675791e-01
1.500000000000000000e+01,2.100000000000000200e-01,4.917938328071674858e-01
1.600000000000000000e+01,2.100000000000000200e-01,5.117938328071675036e-01
1.700000000000000000e+01,2.300000000000000377e-01,5.317938328071675214e-01
1.800000000000000000e+01,2.500000000000000555e-01,5.517938328071675391e-01
1.900000000000000000e+01,2.700000000000000178e-01,5.717938328071675569e-01
2.000000000000000000e+01,2.900000000000000355e-01,5.917938328071675747e-01
2.100000000000000000e+01,3.100000000000000533e-01,5.917938328071675747e-01
2.200000000000000000e+01,3.300000000000000155e-01,5.917938328071675747e-01
2.300000000000000000e+01,3.500000000000000333e-01,5.917938328071675747e-01
2.400000000000000000e+01,3.700000000000000511e-01,5.917938328071675747e-01
2.500000000000000000e+01,3.900000000000000133e-01,5.917938328071675747e-01
2.600000000000000000e+01,4.100000000000000311e-01,5.717938328071675569e-01
2.700000000000000000e+01,4.300000000000000488e-01,5.717938328071675569e-01
2.800000000000000000e+01,4.500000000000000666e-01,5.517938328071675391e-01
2.900000000000000000e+01,4.700000000000000844e-01,5.317938328071675214e-01
3.000000000000000000e+01,4.899999999999999911e-01,5.117938328071675036e-01
3.100000000000000000e+01,5.100000000000000089e-01,4.917938328071674858e-01
