idx,x,y
0.000000000000000000e+00,2.036259415453096355e-01,1.980480591131980883e-01
1.000000000000000000e+00,2.236259415453096533e-01,1.980480591131980883e-01
2.000000000000000000e+00,2.436259415453096711e-01,1.980480591131980883e-01
3.000000000000000000e+00,2.636259415453096056e-01,1.980480591131980883e-01
4.000000000000000000e+00,2.836259415453096233e-01,1.980480591131980883e-01
5.000000000000000000e+00,3.036259415453096411e-01,1.780480591131980705e-01
6.000000000000000000e+00,3.236259415453096588e-01,1.780480591131980705e-01
7.000000000000000000e+00,3.436259415453096766e-01,1.780480591131980705e-01
8.000000000000000000e+00,3.636259415453096944e-01,1.780480591131980705e-01
9.000000000000000000e+00,3.836259415453097121e-01,1.780480591131980705e-01
1.000000000000000000e+01,4.036259415453097299e-01,1.580480591131980528e-01
1.100000000000000000e+01,4.236259415453096366e-01,1.580480591131980528e-01
1.200000000000000000e+01,4.436259415453096544e-01,1.580480591131980528e-01
1.300000000000000000e+01,4.636259415453096722e-01,1.580480591131980528e-01
1.400000000000000000e+01,4.836259415453096899e-01,1.580480591131980528e-01
1.500000000000000000e+01,5.036259415453097077e-01,1.780480591131980705e-01
1.600000000000000000e+01,5.236259415453097255e-01,1.780480591131980705e-01
1.700000000000000000e+01,5.436259415453096322e-01,1.980480591131980883e-01
1.800000000000000000e+01,5.636259415453096500e-01,2.180480591131981061e-01
1.900000000000000000e+01,5.636259415453096500e-01,2.380480591131980683e-01
2.000000000000000000e+01,5.836259415453096677e-01,2.580480591131980583e-01
2.100000000000000000e+01,5.836259415453096677e-01,2.780480591131980761e-01
2.200000000000000000e+01,5.836259415453096677e-01,2.980480591131980939e-01
2.300000000000000000e+01,5.836259415453096677e-01,3.180480591131981116e-01
2.400000000000000000e+01,5.836259415453096677e-01,3.380480591131981294e-01
2.500000000000000000e+01,5.836259415453096677e-01,3.580480591131980361e-01
2.600000000000000000e+01,5.636259415453096500e-01,3.780480591131980539e-01
2.700000000000000000e+01,5.636259415453096500e-01,3.980480591131980717e-01
2.800000000000000000e+01,5.436259415453096322e-01,4.180480591131980894e-01
2.900000000000000000e+01,5.236259415453097255e-01,4.380480591131981072e-01
3.000000000000000000e+01,5.236259415453097255e-01,4.580480591131980139e-01
3.100000000000000000e+01,5.036259415453097077e-01,4.780480591131980317e-01
3.200000000000000000e+01,5.036259415453097077e-01,4.980480591131980495e-01
