idx,x,y
0.000000000000000000e+00,2.038248808724637817e-01,2.060295328225569544e-01
1.000000000000000000e+00,2.038248808724637817e-01,2.260295328225569722e-01
2.000000000000000000e+00,2.038248808724637817e-01,2.460295328225569345e-01
3.000000000000000000e+00,2.038248808724637817e-01,2.660295328225569245e-01
4.000000000000000000e+00,2.038248808724637817e-01,2.860295328225569422e-01
5.000000000000000000e+00,1.838248808724637640e-01,3.060295328225569600e-01
6.000000000000000000e+00,1.838248808724637640e-01,3.260295328225569778e-01
7.000000000000000000e+00,1.838248808724637640e-01,3.460295328225569955e-01
8.000000000000000000e+00,1.838248808724637640e-01,3.660295328225569023e-01
9.000000000000000000e+00,1.638248808724637462e-01,3.860295328225569200e-01
1.000000000000000000e+01,1.638248808724637462e-01,4.060295328225569378e-01
1.100000000000000000e+01,1.638248808724637462e-01,4.260295328225569556e-01
1.200000000000000000e+01,1.638248808724637462e-01,4.460295328225569733e-01
1.300000000000000000e+01,1.638248808724637462e-01,4.660295328225568801e-01
1.400000000000000000e+01,1.838248808724637640e-01,4.860295328225568978e-01
1.500000000000000000e+01,1.838248808724637640e-01,5.060295328225569156e-01
1.600000000000000000e+01,2.038248808724637817e-01,5.260295328225569333e-01
1.700000000000000000e+01,2.238248808724637995e-01,5.460295328225569511e-01
1.800000000000000000e+01,2.438248808724637617e-01,5.660295328225569689e-01
1.900000000000000000e+01,2.638248808724638073e-01,5.660295328225569689e-01
2.000000000000000000e+01,2.838248808724638250e-01,5.860295328225568756e-01
2.100000000000000000e+01,3.038248808724637318e-01,5.860295328225568756e-01
2.200000000000000000e+01,3.238248808724637495e-01,5.860295328225568756e-01
2.300000000000000000e+01,3.438248808724637673e-01,5.860295328225568756e-01
2.400000000000000000e+01,3.638248808724637851e-01,5.660295328225569689e-01
2.500000000000000000e+01,3.838248808724638028e-01,5.660295328225569689e-01
2.600000000000000000e+01,4.038248808724638206e-01,5.460295328225569511e-01
2.700000000000000000e+01,4.238248808724638383e-01,5.260295328225569333e-01
2.800000000000000000e+01,4.438248808724638561e-01,5.260295328225569333e-01
2.900000000000000000e+01,4.638248808724637628e-01,5.260295328225569333e-01
3.000000000000000000e+01,4.838248808724637806e-01,5.060295328225569156e-01
3.100000000000000000e+01,5.038248808724637984e-01,5.060295328225569156e-01
