idx,x,y
0.000000000000000000e+00,1.852966670947608363e-01,1.959449134191351416e-01
1.000000000000000000e+00,2.052966670947608541e-01,1.759449134191351238e-01
2.000000000000000000e+00,2.052966670947608541e-01,1.559449134191351616e-01
3.000000000000000000e+00,2.252966670947608718e-01,1.359449134191351438e-01
4.000000000000000000e+00,2.452966670947608896e-01,1.159449134191351261e-01
5.000000000000000000e+00,2.652966670947608518e-01,1.159449134191351261e-01
6.000000000000000000e+00,2.852966670947608696e-01,9.594491341913510829e-02
7.000000000000000000e+00,3.052966670947608874e-01,9.594491341913510829e-02
8.000000000000000000e+00,3.252966670947608496e-01,9.594491341913510829e-02
9.000000000000000000e+00,3.452966670947608674e-01,9.594491341913510829e-02
1.000000000000000000e+01,3.652966670947608852e-01,9.594491341913510829e-02
1.100000000000000000e+01,3.852966670947608474e-01,1.159449134191351261e-01
1.200000000000000000e+01,4.052966670947608652e-01,1.159449134191351261e-01
1.300000000000000000e+01,4.252966670947608829e-01,1.359449134191351438e-01
1.400000000000000000e+01,4.452966670947609007e-01,1.559449134191351616e-01
1.500000000000000000e+01,4.452966670947609007e-01,1.759449134191351238e-01
1.600000000000000000e+01,4.652966670947609185e-01,1.959449134191351416e-01
1.700000000000000000e+01,4.852966670947608252e-01,2.159449134191351594e-01
1.800000000000000000e+01,4.852966670947608252e-01,2.359449134191351216e-01
1.900000000000000000e+01,5.052966670947608430e-01,2.559449134191351671e-01
2.000000000000000000e+01,5.052966670947608430e-01,2.759449134191351849e-01
2.100000000000000000e+01,5.052966670947608430e-01,2.959449134191350916e-01
2.200000000000000000e+01,5.052966670947608430e-01,3.159449134191351094e-01
2.300000000000000000e+01,5.052966670947608430e-01,3.359449134191351272e-01
2.400000000000000000e+01,5.052966670947608430e-01,3.559449134191351449e-01
2.500000000000000000e+01,5.052966670947608430e-01,3.759449134191351627e-01
2.600000000000000000e+01,5.052966670947608430e-01,3.959449134191350694e-01
2.700000000000000000e+01,5.052966670947608430e-01,4.159449134191350872e-01
2.800000000000000000e+01,5.052966670947608430e-01,4.359449134191351050e-01
2.900000000000000000e+01,5.052966670947608430e-01,4.559449134191351227e-01
3.000000000000000000e+01,5.052966670947608430e-01,4.759449134191351405e-01
3.100000000000000000e+01,5.052966670947608430e-01,4.959449134191351583e-01
