idx,x,y
0.000000000000000000e+00,2.100000000000000200e-01,2.089241862864373023e-01
1.000000000000000000e+00,2.300000000000000377e-01,2.089241862864373023e-01
2.000000000000000000e+00,2.500000000000000555e-01,2.089241862864373023e-01
3.000000000000000000e+00,2.700000000000000178e-01,2.089241862864373023e-01
4.000000000000000000e+00,2.900000000000000355e-01,2.089241862864373023e-01
5.000000000000000000e+00,3.100000000000000533e-01,1.889241862864372845e-01
6.000000000000000000e+00,3.300000000000000155e-01,1.889241862864372845e-01
7.000000000000000000e+00,3.500000000000000333e-01,1.889241862864372845e-01
8.000000000000000000e+00,3.700000000000000511e-01,1.889241862864372845e-01
9.000000000000000000e+00,3.900000000000000133e-01,1.889241862864372845e-01
1.000000000000000000e+01,4.100000000000000311e-01,1.889241862864372845e-01
1.100000000000000000e+01,4.300000000000000488e-01,1.889241862864372845e-01
1.200000000000000000e+01,4.500000000000000666e-01,2.089241862864373023e-01
1.300000000000000000e+01,4.700000000000000844e-01,2.089241862864373023e-01
1.400000000000000000e+01,4.899999999999999911e-01,2.289241862864373200e-01
1.500000000000000000e+01,5.100000000000000089e-01,2.289241862864373200e-01
1.600000000000000000e+01,5.300000000000000266e-01,2.489241862864373378e-01
1.700000000000000000e+01,5.300000000000000266e-01,2.689241862864373278e-01
1.800000000000000000e+01,5.500000000000000444e-01,2.889241862864373456e-01
1.900000000000000000e+01,5.500000000000000444e-01,3.089241862864373633e-01
2.000000000000000000e+01,5.500000000000000444e-01,3.289241862864372701e-01
2.100000000000000000e+01,5.700000000000000622e-01,3.489241862864372878e-01
2.200000000000000000e+01,5.500000000000000444e-01,3.689241862864373056e-01
2.300000000000000000e+01,5.500000000000000444e-01,3.889241862864373234e-01
2.400000000000000000e+01,5.500000000000000444e-01,4.089241862864373411e-01
2.500000000000000000e+01,5.300000000000000266e-01,4.289241862864373589e-01
2.600000000000000000e+01,5.300000000000000266e-01,4.489241862864373767e-01
2.700000000000000000e+01,5.100000000000000089e-01,4.689241862864373944e-01
2.800000000000000000e+01,5.100000000000000089e-01,4.889241862864373012e-01
2.900000000000000000e+01,5.100000000000000089e-01,5.089241862864373189e-01
