idx,x,y
0.000000000000000000e+00,2.020068633598477992e-01,2.064610110876792526e-01
1.000000000000000000e+00,2.220068633598477614e-01,2.064610110876792526e-01
2.000000000000000000e+00,2.420068633598477792e-01,1.864610110876792348e-01
3.000000000000000000e+00,2.620068633598477970e-01,1.664610110876792171e-01
4.000000000000000000e+00,2.820068633598477592e-01,1.664610110876792171e-01
5.000000000000000000e+00,3.020068633598477770e-01,1.464610110876791993e-01
6.000000000000000000e+00,3.220068633598477947e-01,1.464610110876791993e-01
7.000000000000000000e+00,3.420068633598478125e-01,1.464610110876791993e-01
8.000000000000000000e+00,3.620068633598478303e-01,1.464610110876791993e-01
9.000000000000000000e+00,3.820068633598477370e-01,1.464610110876791993e-01
1.000000000000000000e+01,4.020068633598477548e-01,1.464610110876791993e-01
1.100000000000000000e+01,4.220068633598477725e-01,1.664610110876792171e-01
1.200000000000000000e+01,4.420068633598477903e-01,1.864610110876792348e-01
1.300000000000000000e+01,4.620068633598478081e-01,2.064610110876792526e-01
1.400000000000000000e+01,4.820068633598478258e-01,2.264610110876792148e-01
1.500000000000000000e+01,5.020068633598477881e-01,2.464610110876792326e-01
1.600000000000000000e+01,5.020068633598477881e-01,2.664610110876792781e-01
1.700000000000000000e+01,5.220068633598478058e-01,2.864610110876791849e-01
1.800000000000000000e+01,5.220068633598478058e-01,3.064610110876792026e-01
1.900000000000000000e+01,5.220068633598478058e-01,3.264610110876792204e-01
2.000000000000000000e+01,5.220068633598478058e-01,3.464610110876792382e-01
2.100000000000000000e+01,5.220068633598478058e-01,3.664610110876792559e-01
2.200000000000000000e+01,5.220068633598478058e-01,3.864610110876792737e-01
2.300000000000000000e+01,5.220068633598478058e-01,4.064610110876792914e-01
2.400000000000000000e+01,5.220068633598478058e-01,4.264610110876793092e-01
2.500000000000000000e+01,5.220068633598478058e-01,4.464610110876792159e-01
2.600000000000000000e+01,5.220068633598478058e-01,4.664610110876792337e-01
2.700000000000000000e+01,5.020068633598477881e-01,4.864610110876792515e-01
2.800000000000000000e+01,5.020068633598477881e-01,5.064610110876792692e-01
